27 4096 0
0 53.3777 -113.963 0.458318 0 26.1967 0 0 0.054 -1 0 0
1 -61.9166 -123.842 -0.785551 0.785551 -27.4943 0 0 0.1188 -1 0 1
2 -29.9324 -128.568 0.42708 0 14.3096 0 0 0.054 -1 0 0
3 84.5838 119.679 0.899373 0 -14.2352 0.543344 0 0.054 -1 0 0
4 88.5981 42.2933 -0.39057 0.39057 13.5488 1 0 0.1188 -1 0 1
5 -12.2499 -75.1575 0.0413278 0 12.2689 0 0 0.054 -1 0 0
6 -81.6002 170.552 -0.283152 0.283152 -14.759 0.229546 0 0.1188 -1 0 1
7 51.3317 -108.117 -0.249872 0.249872 7.61614 0.304629 0 0.1188 -1 0 1
8 -5.98268 129.579 0.219977 0 17.3547 0.58419 0 0.054 -1 0 0
9 -78.2907 161.599 0.858753 0 36.4243 0.478889 0 0.054 -1 0 0
10 -20.625 -174.252 -0.814592 0.814592 -14.7588 0.946277 0 0.1188 -1 0 1
11 -10.7726 -136.066 0.214944 0 4.16948 0.492397 0 0.054 -1 0 0
12 -58.7944 -39.2182 -0.486733 0.486733 -18.8376 0.0984588 0 0.1188 -1 0 1
13 -33.892 7.22449 -0.570671 0.570671 6.90417 0.695536 0 0.1188 -1 0 1
14 -84.3636 123.223 0.552102 0 0.535389 1 0 0.054 -1 0 0
15 71.0689 35.244 0.451925 0 35.8902 0.859943 0 0.054 -1 0 0
16 12.6799 7.50034 -0.886784 0.886784 37.9045 0.457578 0 0.1188 -1 0 1
17 -20.0381 -82.3143 0.0621555 0 27.1145 0 0 0.054 -1 0 0
18 83.746 38.5323 0.0868798 0 -9.74511 0.713228 0 0.054 -1 0 0
19 54.3955 -153.162 -0.991299 0.991299 40.6976 0.348704 0 0.1188 -1 0 1
20 -18.9213 -74.3443 -0.996273 0.996273 -29.8661 0.00936753 0 0.1188 -1 0 1
21 37.2343 82.4426 0.567796 0 25.4547 1 0 0.054 -1 0 0
22 76.7342 54.3877 -0.746014 0.746014 35.2377 1 0 0.1188 -1 0 1
23 22.1937 -60.8767 -0.785177 0.785177 -24.5325 0 0 0.1188 -1 0 1
24 30.3914 59.732 0.473441 0 12.6853 1 0 0.054 -1 0 0
25 69.6983 -10.0026 -0.218297 0.218297 -20.2341 0.821884 0 0.1188 -1 0 1
26 62.8045 79.8226 0.120799 0 -11.9471 1 0 0.054 -1 0 0
27 -1.11679 8.18382 0.429048 0 -0.10372 0.254048 0 0.054 -1 0 0
28 -10.9194 -107.381 -0.952559 0.952559 32.2037 0 0 0.1188 -1 0 1
29 -33.4159 3.08545 0.406584 0 32.177 0.200595 0 0.054 -1 0 0
30 18.7951 14.3428 0.52579 0 -14.9008 0.468823 0 0.054 -1 0 0
31 -76.1436 -75.6895 0.380255 0 -19.954 0.0725318 0 0.054 -1 0 0
32 22.3837 -73.5719 0.283845 0 -21.5898 0.0666836 0 0.054 -1 0 0
33 54.661 -112.835 -0.173001 0.173001 34.0934 0.249364 0 0.1188 -1 0 1
